year,total_acres,number_of_fires
1985,      2127242.0,     256
1986,      1364572.0,     234
1987,      2017956.0,     378
1988,      4268877.0,     376
1989,      1416876.0,     261
1990,      2474014.0,     219
1991,      1595015.0,     277
1992,      1247421.0,     207
1993,      1265738.0,     192
1994,      2420042.0,     465
1995,      1145218.0,     253
1996,      4583581.0,     500
1997,       642274.0,     152
1998,      1479720.0,     298
1999,      4931180.0,     515
2000,      6002688.0,     661
2001,      2517184.0,     438
2002,      5793488.0,     419
2003,      3476560.0,     361
2004,      7619875.0,     284
2005,      8367666.0,     601
2006,      7539942.0,     799
2007,      7682337.0,     543
2008,      3684688.0,     457
2009,      3354435.0,     388
2010,      1893000.0,     294
2011,      7763249.0,     824
2012,      8391919.0,     569
2013,      3809080.0,     303
2014,      2653338.0,     267
2015,      9061371.0,     536
2016,      4246348.0,     518
2017,      8900137.0,     644
2018,      7404648.0,     525
2019,      4186941.0,     380
2020,      9646760.0,     468
2021,      7069633.0,     422
2022,      6856430.0,     530
2023,      1969822.0,     339
2024,      6533060.0,     411
2025,      1177711.0,      54
