mtbs_fire,year,acres,latitude,longitude,ignition_date,pyrocb_events,max_inject_alt,pyrocb
416,2018,55178.0,37.49428968622108,-107.90478844442556,2018-06-01,3,11300.0,1
ANTELOPE,2021,141890.0,41.62387886418796,-121.76939280001945,2021-08-01,2,11800.0,1
BADGER CREEK,2018,20741.0,41.04582853872727,-106.09494668185638,2018-06-10,1,12000.0,1
BALD,2014,39760.0,40.87204778906422,-121.3092451487717,2014-07-31,2,12000.0,1
BEAVER COMPLEX,2014,35178.0,42.02926702425751,-122.2598457481236,2014-07-31,1,,1
BEAVER CREEK,2013,111308.0,43.58706622189646,-114.53672054896114,2013-08-07,2,11500.0,1
BEAVER CREEK,2016,44198.0,40.94746513420874,-106.52484046127026,2016-06-19,2,11000.0,1
BLACK,2022,328399.0,33.205503979545405,-107.88694023128603,2022-05-14,1,10600.0,1
BLACK BUTTE,2021,24728.0,44.12278356706054,-118.36560709350822,2021-08-03,1,11000.0,1
BOOTLEG,2021,413425.0,42.62785575914759,-121.08084417111792,2021-07-06,5,11600.0,1
BOUNDARY,2021,97976.0,44.57869171584373,-115.17516090317496,2021-08-10,1,11300.0,1
BRIANHEAD,2017,74260.0,37.7711616272466,-112.6903467274081,2017-06-17,2,11300.0,1
BRINGHAM,2020,23132.0,33.443001853437046,-109.29585102396358,2020-06-06,1,11700.0,1
CAMERON PEAK,2020,208743.0,40.60636486439281,-105.59594827103558,2020-08-13,3,13000.0,1
CAMPBELLS,2015,9108.0,45.46162040641429,-115.3005263182005,2015-08-13,1,10800.0,1
CARPENTER 1,2013,27871.0,36.22558672829447,-115.61000573316146,2013-07-01,2,14300.0,1
CARR,2018,233526.0,40.700919950424215,-122.58727254361207,2018-07-23,2,11900.0,1
CASTLE,2020,174347.0,36.21883615414241,-118.54379739589469,2020-08-19,1,13500.0,1
CEDAR,2016,44130.0,34.02179804679896,-110.14804689212156,2016-06-15,1,11500.0,1
CEDAR CREEK,2021,58650.0,48.51404920877778,-120.40962857816407,2021-07-08,1,11300.0,1
CEDAR CREEK,2022,136259.0,43.77848046687215,-122.17951280686168,2022-08-01,1,10400.0,1
COUGAR CREEK,2015,51849.0,46.18266477056179,-121.37724205874215,2015-08-10,1,11000.0,1
COUGAR PEAK,2021,95373.0,42.39036906381456,-120.4899539823444,2021-09-07,1,13000.0,1
CRANSTON,2018,13084.0,33.7152456609441,-116.69702871596716,2018-07-25,2,14100.0,1
CREEK,2020,381529.0,37.33327313025117,-119.27584915908018,2020-09-05,3,16600.0,1
CRESCENT MOUNTAIN,2018,53264.0,48.3676268682201,-120.46615880258904,2018-07-29,1,10600.0,1
CROOKED CREEK,2021,4310.0,45.19592154033637,-108.36846836858604,2021-06-16,1,11500.0,1
DELTA,2018,63688.0,41.001633450791296,-122.46272472381176,2018-09-05,1,13000.0,1
DIAMOND CREEK,2017,117619.0,48.93646292421257,-120.38295670181066,2017-07-23,2,14800.0,1
DIXIE,2021,979722.0,40.21128949010718,-121.04824149937404,2021-07-14,5,12900.0,1
DOLLAR RIDGE,2018,69762.0,40.11517860844854,-110.90351031728902,2018-07-01,1,11000.0,1
EAGLE CREEK,2017,48787.0,45.612693367185855,-121.90547408790346,2017-09-02,1,11600.0,1
EAST PEAK,2013,10072.0,37.42834392705252,-104.88900447438937,2013-06-19,1,,1
EAST TROUBLESOME,2020,188816.0,40.23656248410142,-106.03194367033548,2020-10-14,2,13400.0,1
EILER,2014,30955.0,40.78985481950341,-121.55940079380788,2014-07-31,1,10000.0,1
FAMILY PEAK COMPLEX,2015,49762.0,48.22625798326649,-112.99180519760117,2015-08-13,1,14000.0,1
FERGUSON,2018,97379.0,37.62932008784891,-119.80540400002616,2018-07-13,1,13900.0,1
FLATT,2021,14644.0,37.616542588894056,-113.75705379623004,2021-06-18,1,12500.0,1
GOLD PAN COMPLEX,2013,43216.0,45.677868196127335,-114.64692340290364,2013-07-16,1,11200.0,1
HARDLUCK,2013,25890.0,43.93339403720291,-109.71976457097408,2013-07-20,1,11600.0,1
HAYDEN PASS,2016,17961.0,38.29694590215125,-105.76485092368353,2016-07-08,1,10800.0,1
