pyrocb_datetime,pyrocb_fire,year,mtbs_fire,distance_km,name_similarity,match_method
2013-06-04 22:00:00,Thompson Ridge,2013,THOMPSON RIDGE,3.9,1.0,exact_name_year
2013-06-11 23:00:00,Jaroso,2013,JAROSO,0.9,1.0,exact_name_year
2013-06-12 18:15:00,Silver,2013,SILVER,12.5,1.0,exact_name_year
2013-06-13 18:00:00,Silver,2013,SILVER,12.5,1.0,exact_name_year
2013-06-20 20:45:00,West Fork,2013,WEST FORK,4331.2,1.0,exact_name_year
2013-06-21 20:30:00,West Fork Complex,2013,WEST FORK COMPLEX,4.1,1.0,exact_name_year
2013-06-21 21:00:00,West Fork Complex (Papoose),2013,WEST FORK COMPLEX,30.5,0.77,probable_match
2013-06-22 14:11:00,East Peak,2013,EAST PEAK,1.5,1.0,exact_name_year
2013-06-23 22:00:00,West Fork Complex,2013,WEST FORK COMPLEX,4.1,1.0,exact_name_year
2013-06-26 21:32:00,West Fork Complex (Papoose),2013,WEST FORK COMPLEX,30.5,0.77,probable_match
2013-06-27 18:00:00,Silver,2013,SILVER,12.5,1.0,exact_name_year
2013-06-27 20:15:00,West Fork,2013,WEST FORK,4324.5,1.0,exact_name_year
2013-06-28 14:30:00,Silver,2013,SILVER,12.5,1.0,exact_name_year
2013-06-28 20:00:00,West Fork Complex,2013,WEST FORK COMPLEX,4.1,1.0,exact_name_year
2013-06-30 18:45:00,Silver,2013,SILVER,12.5,1.0,exact_name_year
2013-06-30 23:00:00,Yarnell Hill,2013,YARNELL HILL,5.3,1.0,exact_name_year
2013-07-03 21:00:00,West Fork Complex,2013,WEST FORK COMPLEX,4.1,1.0,exact_name_year
2013-07-04 20:00:00,Carpenter 1,2013,CARPENTER 1,8.6,1.0,exact_name_year
2013-07-05 20:00:00,Carpenter 1,2013,CARPENTER 1,8.6,1.0,exact_name_year
2013-07-26 21:15:00,Hardluck,2013,HARDLUCK,7.6,1.0,exact_name_year
2013-08-09 03:30:00,Pony / Elk,2013,PONY COMPLEX,15.2,0.55,review
2013-08-09 04:00:00,McCann,2013,MCCAN,3.8,0.91,probable_match
2013-08-09 21:30:00,Pony / Elk,2013,PONY COMPLEX,15.2,0.55,review
2013-08-10 20:00:00,Pony / Elk,2013,PONY COMPLEX,15.2,0.55,review
2013-08-12 21:00:00,Pony / Elk,2013,PONY COMPLEX,15.2,0.55,review
2013-08-12 23:00:00,Beaver Creek Complex,2013,BEAVER CREEK,4.2,0.75,probable_match
2013-08-13 23:00:00,Pony / Elk,2013,PONY COMPLEX,15.2,0.55,review
2013-08-15 00:00:00,Patch Springs,2013,PATCH SPRINGS,4.3,1.0,exact_name_year
2013-08-16 21:41:00,Gold Pan Complex,2013,GOLD PAN COMPLEX,12.1,1.0,exact_name_year
2013-08-16 23:41:00,Beaver Creek Complex,2013,BEAVER CREEK,10.9,0.75,probable_match
2013-08-19 22:50:00,Minor Paradise Complex,2013,MINER PARADISE COMPLEX,9.0,0.95,probable_match
2013-08-19 23:00:00,Rim,2013,RIM,14.2,1.0,exact_name_year
2013-08-21 22:00:00,Rim,2013,RIM,14.2,1.0,exact_name_year
2014-06-09 00:00:00,Two Bulls,2014,TWO BULLS FIRE,3.7,0.78,probable_match
2014-07-02 22:00:00,,2014,DOTS,3.7,0.0,review
2014-07-31 20:30:00,,2014,DAY,9.8,0.0,review
2014-07-31 21:30:00,Bald,2014,BALD,6.0,1.0,exact_name_year
2014-08-01 00:30:00,,2014,BEAVER COMPLEX,4.6,0.0,review
2014-08-01 03:00:00,,2014,DAY,9.8,0.0,review
2014-08-01 04:00:00,,2014,BEAVER COMPLEX,4.6,0.0,review
